hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
358847,1.686314139,13,2,1,5,2,1,220,6,0,0,3
250684,1.3575777528,53,1,2,1,1,5,220,4,3,3,1
416302,3.8100269061,59,1,2,1,1,5,210,2,1,1,1
439044,1.215709464,53,2,2,1,1,5,210,2,4,4,2
113123,3.3494124772,33,1,1,1,1,4,10,1,1,1,1
284718,5.8999609518,60,1,3,1,1,5,10,1,1,1,1
424281,1.8295762199,19,1,1,3,2,3,220,3,1,1,3
136382,0.3833637593,16,2,1,1,2,2,220,4,2,2,3
412882,2.8063000176,21,2,1,1,1,3,10,1,1,1,1
274831,3.6065229959,26,1,1,1,1,4,220,3,2,2,3
139415,1.6983157788,26,2,1,1,1,4,30,2,0,0,1
271495,1.4825094251,25,1,1,2,1,4,230,3,1,1,3
135387,0.8260752884,7,1,1,5,2,1,220,5,1,1,3
280818,1.3666480256,50,2,1,1,1,5,30,2,0,0,1
329832,0.372324562,61,2,2,1,1,5,210,2,2,2,2
446652,1.4166947675,19,1,1,2,1,3,230,2,1,1,2
339516,1.2640338768,44,1,2,1,1,5,220,4,0,0,2
437685,0.3819613257,15,1,1,3,2,2,220,4,2,2,4
247796,1.2996287225,75,1,1,4,1,6,10,1,1,1,1
147405,0.9190961612,20,2,1,1,2,3,220,4,3,3,3
287866,0.7223824658,72,1,2,4,1,6,210,2,1,1,1
152047,2.3491366438,18,2,1,1,1,3,220,5,1,1,4
442262,1.1392309991,15,2,1,3,2,2,220,4,0,0,3
115531,1.3378517846,50,2,2,2,1,5,230,4,1,1,1
283731,0.8984932939,21,2,1,1,1,3,220,4,2,2,4
331884,0.6738760971,65,2,2,1,1,6,220,3,1,1,1
447705,1.4424940504,83,1,2,4,1,6,220,3,1,1,1
444605,1.2770213891,66,1,3,4,1,6,10,1,1,1,1
287529,2.1906710783,45,2,1,1,1,5,210,2,1,1,2
424571,1.3710694509,71,2,4,4,2,6,10,1,0,0,1
273146,1.5577664465,35,2,4,1,2,4,10,1,0,0,1
419568,0.5325167628,12,2,1,5,2,1,220,4,2,2,3
321035,0.7501433862,35,2,1,1,1,4,210,2,2,2,2
122138,1.7501615313,32,2,2,1,1,4,210,2,1,1,2
270123,1.9258304949,51,2,4,1,1,5,230,2,2,2,1
111892,1.3539030258,12,2,1,5,2,1,230,4,0,0,3
311623,0.7783388187,46,2,2,1,1,5,220,4,1,1,2
242137,1.8747562113,29,1,1,1,1,4,10,1,0,0,1
241393,2.1259038592,68,2,2,4,2,6,210,2,1,1,1
117649,0.872202735,69,2,2,4,1,6,210,2,0,0,2
275394,2.4046292052,31,2,2,1,1,4,210,2,1,1,1
323797,0.3874998361,65,1,2,4,1,6,210,2,1,1,1
278944,0.6534885566,56,2,4,1,2,5,230,2,0,0,1
274768,0.6200692606,78,2,2,4,2,6,210,2,1,1,2
134577,0.9592522524,30,1,1,1,1,4,210,2,3,3,2
431996,1.2295680413,39,2,2,2,2,4,220,4,0,0,1
416732,0.3767814569,12,2,1,5,2,1,220,4,1,1,3
254079,1.9736801489,88,2,3,4,2,6,10,1,0,0,1
436255,1.1087687591,65,1,2,4,1,6,210,2,2,2,1
327678,0.3840564792,41,2,2,1,1,4,220,5,1,1,1
128106,1.2269247765,56,1,2,1,1,5,220,3,2,2,1
441902,0.370492638,68,2,4,4,1,6,10,1,0,0,1
129347,1.9702781235,48,2,2,2,1,5,220,4,2,2,2
456574,1.5267305713,54,1,2,1,1,5,220,4,2,2,1
245493,0.8735557031,14,2,1,5,2,1,220,4,2,2,4
140802,2.2466361533,39,2,1,1,1,4,10,1,0,0,1
